Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
CARNS1	ATPGD1, KIAA1394	ENSG00000172508	Carnosine synthase 1	11	67182439-67193078	Enzymes, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038569, HPA038570	Supportive			Group enriched	6	cerebral cortex: 40.1;skeletal muscle: 41.1	thyroid gland: 7.0
CDR1	CDR, CDR34, CDR62A	ENSG00000184258	Cerebellar degeneration-related protein 1, 34kDa	X	139865425-139866723		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	6	adipose tissue: 7.9;cerebral cortex: 38.1;skin: 12.8	pancreas: 3.1
CECR6		ENSG00000183307	Cat eye syndrome chromosome region, candidate 6	22	17597189-17602257	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Group enriched	6	cerebral cortex: 8.3;prostate: 5.3	testis: 1.2
CELF3	BRUNOL1, CAGH4, ERDA4, MGC57297, TNRC4	ENSG00000159409	CUGBP, Elav-like family member 3	1	151674880-151689290	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006292	Uncertain	Uncertain	Nucleus but not nucleoli	Group enriched	6	adrenal gland: 15.7;cerebral cortex: 38.2;stomach: 7.7	duodenum: 3.7
CELF4	BRUNOL4	ENSG00000101489	CUGBP, Elav-like family member 4	18	34823010-35146000	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA037986	Uncertain			Tissue enriched	6	cerebral cortex: 69.7	adrenal gland: 11.9
CELF5	BRUNOL5	ENSG00000161082	CUGBP, Elav-like family member 5	19	3224701-3297074		Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA042012, HPA060336	Supportive			Tissue enriched	6	cerebral cortex: 32.2	ovary: 5.7
CERS1	LAG1, LASS1, UOG1	ENSG00000223802	Ceramide synthase 1	19	18979361-19007536	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA045724	Uncertain			Group enriched	6	cerebral cortex: 62.5;testis: 18.2	skeletal muscle: 6.9
CLVS1	C6orf212L, CRALBPL, MGC34646, RLBP1L1	ENSG00000177182	Clavesin 1	8	61969717-62414204	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053869	Uncertain			Tissue enriched	6	cerebral cortex: 6.5	adipose tissue: 1.1
CNTN2	AXT, TAG-1, TAX, TAX1	ENSG00000184144	Contactin 2 (axonal)	1	205012325-205047627	Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA001397, HPA012497	Uncertain			Tissue enriched	6	cerebral cortex: 50.7	testis: 8.7
CPLX1	CPX-I	ENSG00000168993	Complexin 1	4	778745-819986	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 27.2	prostate: 4.5
CRB1	LCA8, RP12	ENSG00000134376	Crumbs homolog 1 (Drosophila)	1	197170592-197447585	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	6	cerebral cortex: 8.1;testis: 4.4	ovary: 1.0
CTNND2	GT24, NPRAP	ENSG00000169862	Catenin (cadherin-associated protein), delta 2	5	10971952-11904155	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA015077, CAB037339	Uncertain	Uncertain	Nucleus but not nucleoli, Golgi apparatus, Cell Junctions	Tissue enriched	6	cerebral cortex: 94.2	pancreas: 14.7
CXXC11	C2orf85, FLJ33590	ENSG00000188011	CXXC finger protein 11	2	242811752-242815975	Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA050902	Uncertain			Group enriched	6	cerebral cortex: 5.5;lymph node: 1.2	spleen: 0.6
DCX	DBCN, DC, LISX, SCLH, XLIS	ENSG00000077279	Doublecortin	X	110537007-110655603	Cytoskeleton related proteins, Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA059243	Uncertain			Group enriched	6	cerebral cortex: 6.4;endometrium: 1.6	salivary gland: 0.7
DDN	KIAA0749	ENSG00000181418	Dendrin	12	49388932-49393092	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA060952	Uncertain			Group enriched	6	cerebral cortex: 46.4;skeletal muscle: 47.5	kidney: 8.0
DIRAS1	Di-Ras1, GBTS1, RIG	ENSG00000176490	DIRAS family, GTP-binding RAS-like 1	19	2714565-2721416	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA050164	Uncertain			Group enriched	6	cerebral cortex: 34.6;heart muscle: 46.4	smooth muscle: 7.2
DLGAP1	DAP-1, GKAP, SAPAP1	ENSG00000170579	Discs, large (Drosophila) homolog-associated protein 1	18	3496030-4455335	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040963	Uncertain			Tissue enriched	6	cerebral cortex: 57.5	fallopian tube: 9.5
DNER	bet, UNQ26	ENSG00000187957	Delta/notch-like EGF repeat containing	2	230222345-230579274	Cancer-related genes, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA017320	Uncertain			Group enriched	6	adrenal gland: 59.2;cerebral cortex: 97.3;salivary gland: 32.7	kidney: 10.7
DPYSL5	CRAM, CRMP-5, CRMP5, Ulip6	ENSG00000157851	Dihydropyrimidinase-like 5	2	27070615-27173219	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA034544	Supportive			Group enriched	6	cerebral cortex: 17.3;testis: 6.7	adrenal gland: 1.8
ELAVL4	HUD, PNEM	ENSG00000162374	ELAV like neuron-specific RNA binding protein 4	1	50513686-50669458	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004442	Uncertain			Group enriched	6	adrenal gland: 12.0;cerebral cortex: 34.1;testis: 7.5	rectum: 3.2
ERBB4	ALS19	ENSG00000178568	V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	2	212240446-213403565	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB000276, HPA012016, CAB025522	Uncertain			Group enriched	6	cerebral cortex: 4.2;fallopian tube: 13.1;heart muscle: 4.1;kidney: 5.0;salivary gland: 5.7;testis: 5.2;thyroid gland: 3.1	lung: 1.0
FAIM2	KIAA0950, LFG, LFG2, LIFEGUARD, NMP35, TMBIM2	ENSG00000135472	Fas apoptotic inhibitory molecule 2	12	50260679-50298000	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA018790, HPA048800	Supportive	Uncertain	Cytoskeleton (Intermediate filaments)	Group enriched	6	adrenal gland: 40.4;cerebral cortex: 187.8	testis: 20.3
FAM69C	C18orf51	ENSG00000187773	Family with sequence similarity 69, member C	18	72102963-72125179		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA048928	Supportive			Group enriched	6	cerebral cortex: 15.5;heart muscle: 5.5;skin: 3.5;testis: 5.9	stomach: 1.3
FGFBP3	C10orf13, MGC39320	ENSG00000174721	Fibroblast growth factor binding protein 3	10	93666346-93669240	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA053943	Uncertain			Tissue enriched	6	cerebral cortex: 9.2	prostate: 1.5
FRMD5	MGC14161	ENSG00000171877	FERM domain containing 5	15	44162962-44487450	Cytoskeleton related proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA011746, HPA013961	Uncertain	Uncertain	Golgi apparatus, Centrosome	Group enriched	6	adrenal gland: 6.2;cerebral cortex: 12.5;heart muscle: 9.6;testis: 4.4	stomach: 1.4
FRMPD2	MGC35285, PDZD5C, PDZK5C	ENSG00000170324	FERM and PDZ domain containing 2	10	49364601-49482941	Cytoskeleton related proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA045059	Uncertain			Group enriched	6	cerebral cortex: 6.0;fallopian tube: 5.8;lung: 1.7;testis: 4.9	heart muscle: 0.8
GABRA3		ENSG00000011677	Gamma-aminobutyric acid (GABA) A receptor, alpha 3	X	151334706-151619830	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA000839	Uncertain			Tissue enriched	6	cerebral cortex: 17.2	placenta: 3.0
GABRA4		ENSG00000109158	Gamma-aminobutyric acid (GABA) A receptor, alpha 4	4	46920917-46996424	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA057756	Uncertain			Group enriched	6	cerebral cortex: 11.2;heart muscle: 11.8;placenta: 3.7	duodenum: 1.5
GABRG2		ENSG00000113327	Gamma-aminobutyric acid (GABA) A receptor, gamma 2	5	161494546-161582542	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 54.5	adrenal gland: 8.7
GAD2	GAD65	ENSG00000136750	Glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)	10	26505236-26593487	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB002682, HPA044637	Supportive			Tissue enriched	6	cerebral cortex: 12.9	pancreas: 2.0
GLDC	GCSP, NKH	ENSG00000178445	Glycine dehydrogenase (decarboxylating)	9	6532464-6645650	Disease related genes, Enzymes, Mitochondrial proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002318, HPA052887	Supportive			Group enriched	6	cerebral cortex: 7.2;kidney: 25.1;liver: 20.2;placenta: 14.6	thyroid gland: 2.9
GLRA3		ENSG00000145451	Glycine receptor, alpha 3	4	175558065-175750465	FDA approved drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA014805	Uncertain			Tissue enriched	6	cerebral cortex: 5.8	testis: 0.9
GPR17		ENSG00000144230	G protein-coupled receptor 17	2	128403439-128410213	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA029766	Supportive	Uncertain	Vesicles	Tissue enriched	6	cerebral cortex: 30.6	lung: 4.7
GPR98	DKFZp761P0710, FEB4, KIAA0686, MASS1, USH2C, VLGR1b	ENSG00000164199	G protein-coupled receptor 98	5	89825161-90460038	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	6	adrenal gland: 45.8;cerebral cortex: 21.2	thyroid gland: 5.5
GRIA2	GluA2, GLUR2, GLURB	ENSG00000120251	Glutamate receptor, ionotropic, AMPA 2	4	158125334-158287227	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB006830, CAB007812, HPA008441, CAB012981	Supportive			Tissue enriched	6	cerebral cortex: 124.1	endometrium: 22.4
GRIA4	GluA4, GLUR4, GLURD	ENSG00000152578	Glutamate receptor, ionotropic, AMPA 4	11	105480721-105852819	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Tissue enriched	6	cerebral cortex: 46.4	adrenal gland: 7.3
HCN2	BCNG-2, BCNG2, HAC-1	ENSG00000099822	Hyperpolarization activated cyclic nucleotide-gated potassium channel 2	19	589893-617159	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	6	cerebral cortex: 16.1;heart muscle: 7.6	testis: 2.0
HS3ST4	3OST4	ENSG00000182601	Heparan sulfate (glucosamine) 3-O-sulfotransferase 4	16	25703347-26149009	Enzymes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	6	cerebral cortex: 12.3	spleen: 1.9
IGLON5	LOC402665	ENSG00000142549	IgLON family member 5	19	51815102-51833608	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA041994, HPA048263	Uncertain	Uncertain	Nucleus	Group enriched	6	adrenal gland: 1.3;cerebral cortex: 5.2;testis: 5.3	esophagus: 0.7
KCNA2	HK4, Kv1.2	ENSG00000177301	Potassium voltage-gated channel, shaker-related subfamily, member 2	1	111136202-111174096	FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB001976	Uncertain			Group enriched	6	cerebral cortex: 12.6;thyroid gland: 3.3	adipose tissue: 1.3
KCNA6	HBK2, Kv1.6	ENSG00000151079	Potassium voltage-gated channel, shaker-related subfamily, member 6	12	4918342-4960277	FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB011539, HPA014418	Uncertain	Uncertain	Plasma membrane	Tissue enriched	6	cerebral cortex: 9.5	adrenal gland: 1.6
KIRREL3	KIAA1867, KIRRE, NEPH2	ENSG00000149571	Kin of IRRE like 3 (Drosophila)	11	126293254-126873355	Disease related genes, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053324, HPA056320	Supportive			Tissue enriched	6	cerebral cortex: 12.2	spleen: 2.2
KLHL32	BKLHD5, KIAA1900	ENSG00000186231	Kelch-like family member 32	6	97372605-97588630		Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA039150	Supportive			Group enriched	6	cerebral cortex: 15.2;fallopian tube: 9.6	testis: 1.9
KLK6	Bssp, Klk7, neurosin, PRSS18, PRSS9	ENSG00000167755	Kallikrein-related peptidase 6	19	51461887-51472929	Cancer-related genes, Enzymes, Mitochondrial proteins, Plasma proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051837		Supportive	Nucleus but not nucleoli, Cytoskeleton (Microtubules)	Group enriched	6	cerebral cortex: 37.9;esophagus: 50.1;fallopian tube: 31.6;kidney: 10.9;tonsil: 41.2	spleen: 6.0
